person,noise_type,intensity,ok,similarity,extract_failed
Allyson_Felix,rotation,0.00000000,1,1.00000000,0
Allyson_Felix,rotation,3.00000000,1,0.99625456,0
Allyson_Felix,rotation,6.00000000,1,0.99653155,0
Allyson_Felix,rotation,10.00000000,1,0.99356306,0
Allyson_Felix,rotation,15.00000000,1,0.98944414,0
Allyson_Felix,rotation,20.00000000,1,0.99164450,0
Allyson_Felix,blur,0.00000000,1,0.99181914,0
Allyson_Felix,blur,1.00000000,1,0.99038994,0
Allyson_Felix,blur,2.00000000,0,0.94211936,0
Allyson_Felix,blur,3.00000000,0,0.86627263,0
Allyson_Felix,blur,4.00000000,0,0.76976526,0
Allyson_Felix,blur,5.00000000,0,0.65528196,0
Allyson_Felix,occlusion,0.00000000,1,0.99583483,0
Allyson_Felix,occlusion,0.10000000,0,0.23230214,0
Allyson_Felix,occlusion,0.15000000,0,nan,1
Allyson_Felix,occlusion,0.20000000,0,nan,1
Allyson_Felix,occlusion,0.25000000,0,nan,1
Allyson_Felix,occlusion,0.30000000,0,nan,1
Alvaro_Uribe,gaussian,0.00000000,1,0.99999988,0
Alvaro_Uribe,gaussian,0.02000000,1,0.98854685,0
Alvaro_Uribe,gaussian,0.05000000,1,0.94944966,0
Alvaro_Uribe,gaussian,0.10000000,1,0.85116386,0
Alvaro_Uribe,gaussian,0.20000000,0,nan,1
Alvaro_Uribe,gaussian,0.30000000,0,nan,1
Alvaro_Uribe,brightness,1.00000000,1,0.99999988,0
Alvaro_Uribe,brightness,0.90000000,1,0.99889642,0
Alvaro_Uribe,brightness,0.80000000,1,0.99651831,0
Alvaro_Uribe,brightness,0.65000000,1,0.99227309,0
Alvaro_Uribe,brightness,0.50000000,1,0.98467445,0
Alvaro_Uribe,brightness,0.35000000,1,0.97658920,0
Alvaro_Uribe,rotation,0.00000000,1,0.99999988,0
Alvaro_Uribe,rotation,3.00000000,1,0.99607158,0
Alvaro_Uribe,rotation,6.00000000,1,0.99659669,0
Alvaro_Uribe,rotation,10.00000000,1,0.99641162,0
Alvaro_Uribe,rotation,15.00000000,1,0.98543972,0
Alvaro_Uribe,rotation,20.00000000,1,0.97944999,0
Alvaro_Uribe,blur,0.00000000,1,0.98778570,0
Alvaro_Uribe,blur,1.00000000,1,0.98538697,0
Alvaro_Uribe,blur,2.00000000,1,0.92262530,0
Alvaro_Uribe,blur,3.00000000,1,0.83450425,0
Alvaro_Uribe,blur,4.00000000,1,0.77030563,0
Alvaro_Uribe,blur,5.00000000,0,0.66273481,0
Alvaro_Uribe,occlusion,0.00000000,1,0.99839830,0
Alvaro_Uribe,occlusion,0.10000000,0,0.35631523,0
Alvaro_Uribe,occlusion,0.15000000,0,nan,1
Alvaro_Uribe,occlusion,0.20000000,0,nan,1
Alvaro_Uribe,occlusion,0.25000000,0,nan,1
Alvaro_Uribe,occlusion,0.30000000,0,nan,1
Amelia_Vega,gaussian,0.00000000,1,1.00000000,0
Amelia_Vega,gaussian,0.02000000,1,0.98740411,0
Amelia_Vega,gaussian,0.05000000,1,0.91881317,0
Amelia_Vega,gaussian,0.10000000,1,0.80812109,0
Amelia_Vega,gaussian,0.20000000,0,nan,1
Amelia_Vega,gaussian,0.30000000,0,nan,1
